title,imdb_id,content_type,platform,platform_group,monetization,presentation,region,imdb_rating,year,genre_primary,vote_weighted_score,content_type_titles,is_recent
Planet Earth,tt0795176,tv_show,Discovery+ Amazon Channel,Other,flatrate,hd,IN,9.4,2006,Docuseries,9.4,tv_show,0
Planet Earth,tt0795176,tv_show,Sony Liv,Other,ads,hd,IN,9.4,2006,Docuseries,9.4,tv_show,0
Band of Brothers,tt0185906,tv_show,JioHotstar,Other,flatrate,hd,IN,9.4,2001,Historical Epic,9.4,tv_show,0
Chernobyl,tt7366338,tv_show,JioHotstar,Other,flatrate,hd,IN,9.3,2019,Disaster,9.3,tv_show,1
The Wire,tt0306414,tv_show,JioHotstar,Other,flatrate,hd,IN,9.3,2002,Cop Drama,9.3,tv_show,0
The Wire,tt0306414,tv_show,VI movies and tv,Other,flatrate,hd,IN,9.3,2002,Cop Drama,9.3,tv_show,0
Avatar: The Last Airbender,tt0417299,tv_show,JioHotstar,Other,flatrate,hd,IN,9.3,2005,Adventure Epic,9.3,tv_show,0
The Sopranos,tt0141842,tv_show,JioHotstar,Other,flatrate,hd,IN,9.2,1999,Epic,9.2,tv_show,0
Blue Planet II,tt6769208,tv_show,Discovery+,Other,flatrate,hd,IN,9.3,2017,Docuseries,9.3,tv_show,0
Blue Planet II,tt6769208,tv_show,Discovery+ Amazon Channel,Other,flatrate,hd,IN,9.3,2017,Docuseries,9.3,tv_show,0
Cosmos: A Spacetime Odyssey,tt2395695,tv_show,Amazon Video,Other,buy,hd,US,9.2,2014,Docuseries,9.2,tv_show,0
Cosmos: A Spacetime Odyssey,tt2395695,tv_show,Google Play Movies,Other,buy,hd,US,9.2,2014,Docuseries,9.2,tv_show,0
Cosmos,tt0081846,tv_show,Not Available,Not Available,,,,9.3,1980,Docuseries,9.3,tv_show,0
Our Planet,tt9253866,tv_show,Netflix,Netflix,flatrate,hd,IN,9.2,2019,Docuseries,9.2,tv_show,1
Our Planet,tt9253866,tv_show,ZEE5,Other,ads,hd,IN,9.2,2019,Docuseries,9.2,tv_show,1
Game of Thrones,tt0944947,tv_show,JioHotstar,Other,flatrate,hd,IN,9.2,2011,Action Epic,9.2,tv_show,0
Game of Thrones,tt0944947,tv_show,VI movies and tv,Other,flatrate,hd,IN,9.2,2011,Action Epic,9.2,tv_show,0
Bluey,tt7678620,tv_show,JioHotstar,Other,flatrate,hd,IN,9.3,2018,Animal Adventure,9.3,tv_show,1
Bluey,tt7678620,tv_show,VI movies and tv,Other,flatrate,hd,IN,9.3,2018,Animal Adventure,9.3,tv_show,1
The World at War,tt0071075,tv_show,Amazon Video,Other,buy,hd,US,9.2,1973,Docuseries,9.2,tv_show,0
Fullmetal Alchemist: Brotherhood,tt1355642,tv_show,Crunchyroll,Other,flatrate,hd,IN,9.1,2009,Japanese,9.1,tv_show,0
Fullmetal Alchemist: Brotherhood,tt1355642,tv_show,Crunchyroll Amazon Channel,Other,flatrate,hd,IN,9.1,2009,Japanese,9.1,tv_show,0
Fullmetal Alchemist: Brotherhood,tt1355642,tv_show,Anime Times Amazon Channel,Other,flatrate,hd,IN,9.1,2009,Japanese,9.1,tv_show,0
Fullmetal Alchemist: Brotherhood,tt1355642,tv_show,Animax Amazon Channel,Other,flatrate,hd,IN,9.1,2009,Japanese,9.1,tv_show,0
Fullmetal Alchemist: Brotherhood,tt1355642,tv_show,Amazon Prime Video,Amazon Prime Video,free,hd,IN,9.1,2009,Japanese,9.1,tv_show,0
Attack on Titan,tt2560140,tv_show,Anime Times Amazon Channel,Other,flatrate,hd,IN,9.1,2013,Japanese,9.1,tv_show,0
Attack on Titan,tt2560140,tv_show,Amazon Prime Video,Amazon Prime Video,free,hd,IN,9.1,2013,Japanese,9.1,tv_show,0
Life,tt1533395,tv_show,Discovery+ Amazon Channel,Other,flatrate,hd,IN,9.1,2009,Docuseries,9.1,tv_show,0
The Last Dance,tt8420184,tv_show,Netflix,Netflix,flatrate,hd,IN,9.0,2020,Basketball,9.0,tv_show,1
The Twilight Zone,tt0052520,tv_show,Paramount Plus Premium,Other,flatrate,hd,US,9.0,1959,Body Horror,9.0,tv_show,0
The Twilight Zone,tt0052520,tv_show,Paramount Plus Essential,Other,flatrate,hd,US,9.0,1959,Body Horror,9.0,tv_show,0
The Twilight Zone,tt0052520,tv_show,Paramount Plus Apple TV Channel,Other,flatrate,hd,US,9.0,1959,Body Horror,9.0,tv_show,0
The Twilight Zone,tt0052520,tv_show,Paramount+ Amazon Channel,Other,flatrate,hd,US,9.0,1959,Body Horror,9.0,tv_show,0
The Twilight Zone,tt0052520,tv_show,Paramount+ Roku Premium Channel,Other,flatrate,hd,US,9.0,1959,Body Horror,9.0,tv_show,0
The Twilight Zone,tt0052520,tv_show,Tubi TV,Other,ads,hd,US,9.0,1959,Body Horror,9.0,tv_show,0
The Twilight Zone,tt0052520,tv_show,Amazon Video,Other,buy,hd,US,9.0,1959,Body Horror,9.0,tv_show,0
The Twilight Zone,tt0052520,tv_show,Apple TV Store,Other,buy,hd,US,9.0,1959,Body Horror,9.0,tv_show,0
The Twilight Zone,tt0052520,tv_show,Google Play Movies,Other,buy,hd,US,9.0,1959,Body Horror,9.0,tv_show,0
The Twilight Zone,tt0052520,tv_show,Fandango At Home,Other,buy,hd,US,9.0,1959,Body Horror,9.0,tv_show,0
The Vietnam War,tt1877514,tv_show,PBS Documentaries Amazon Channel,Other,flatrate,hd,US,9.1,2017,Docuseries,9.1,tv_show,0
The Vietnam War,tt1877514,tv_show,WETA+,Other,flatrate,hd,US,9.1,2017,Docuseries,9.1,tv_show,0
The Vietnam War,tt1877514,tv_show,KQED,Other,ads,hd,US,9.1,2017,Docuseries,9.1,tv_show,0
The Vietnam War,tt1877514,tv_show,Amazon Video,Other,buy,hd,US,9.1,2017,Docuseries,9.1,tv_show,0
The Vietnam War,tt1877514,tv_show,Apple TV Store,Other,buy,hd,US,9.1,2017,Docuseries,9.1,tv_show,0
Rick and Morty,tt2861424,tv_show,Netflix,Netflix,flatrate,hd,IN,9.0,2013,Adult Animation,9.0,tv_show,0
Sherlock,tt1475582,tv_show,Lionsgate Play,Other,flatrate,hd,IN,9.0,2010,Police Procedural,9.0,tv_show,0
Sherlock,tt1475582,tv_show,Lionsgate Play Apple TV Channel,Other,flatrate,hd,IN,9.0,2010,Police Procedural,9.0,tv_show,0
Sherlock,tt1475582,tv_show,Lionsgate Play Amazon Channel,Other,flatrate,hd,IN,9.0,2010,Police Procedural,9.0,tv_show,0
Sherlock,tt1475582,tv_show,Amazon Prime Video,Amazon Prime Video,free,hd,IN,9.0,2010,Police Procedural,9.0,tv_show,0
Batman: The Animated Series,tt0103359,tv_show,CN Rewind Amazon Channel,Other,flatrate,hd,IN,9.0,1992,Hand-Drawn Animation,9.0,tv_show,0
Batman: The Animated Series,tt0103359,tv_show,Amazon Prime Video,Amazon Prime Video,free,hd,IN,9.0,1992,Hand-Drawn Animation,9.0,tv_show,0
Better Call Saul,tt3032476,tv_show,Netflix,Netflix,flatrate,hd,IN,9.0,2015,Dark Comedy,9.0,tv_show,0
