imdb_id,title,content_type,year,decade,era,is_recent,imdb_rating,votes,vote_weighted_score,popularity_tier,runtime_min,runtime_category,genres,genre_primary,certificate,plot,rank,platform,source
KGL_tm416458,The Insomnia Club,movie,2018,2010s,2015–2019,1,6.2,501,16.744,Low,84.0,Standard (1–1.5h),Unknown,Unknown,PG-13,,,Netflix,kaggle
KGL_ts83502,Ad Vitam,tv_show,2018,2010s,2015–2019,1,6.4,1671,20.629,Medium,52.0,Short (<1h),Unknown,Unknown,TV-MA,,,Netflix,kaggle
KGL_ts17598,Arrow,tv_show,2012,2010s,2010–2014,0,7.5,427871,42.235,High,42.0,Short (<1h),Unknown,Unknown,TV-14,,,Netflix,kaggle
KGL_tm1097142,My Bride,movie,2021,2020s,2020s,1,5.0,327,12.579,Low,93.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm996010,Still Out of My League,movie,2021,2020s,2020s,1,5.5,810,16.0,Low,113.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm226362,Bosta,movie,2005,2000s,2000s,0,6.4,605,17.808,Low,112.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm145608,Awakenings,movie,1990,1990s,1990s,0,7.8,139240,40.121,High,120.0,Long (1.5–2h),Unknown,Unknown,PG-13,,,Netflix,kaggle
KGL_tm464542,Tottaa Pataaka Item Maal,movie,2018,2010s,2015–2019,1,7.6,7911,29.627,High,107.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm198496,Aziz Ansari: Live at Madison Square Garden,movie,2015,2010s,2015–2019,0,6.6,3266,23.193,Medium,58.0,Short (<1h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm71558,The Legend of the Nahuala,movie,2007,2000s,2000s,0,6.1,511,16.527,Low,80.0,Standard (1–1.5h),Unknown,Unknown,PG,,,Netflix,kaggle
KGL_ts137477,Behind Enemy Lines,tv_show,2001,2000s,2000s,0,7.2,43,11.833,Low,49.0,Short (<1h),Unknown,Unknown,TV-14,,,Netflix,kaggle
KGL_ts88485,Green Eggs and Ham,tv_show,2019,2010s,2015–2019,1,8.1,2631,27.704,Medium,28.0,Short (<1h),Unknown,Unknown,TV-Y7,,,Netflix,kaggle
KGL_tm260272,Little Evil,movie,2017,2010s,2015–2019,0,5.6,21421,24.253,High,94.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm811971,Oprah Winfrey Presents: When They See Us Now,movie,2019,2010s,2015–2019,1,7.7,2350,25.959,Medium,61.0,Standard (1–1.5h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_ts53663,Workin' Moms,tv_show,2017,2010s,2015–2019,0,7.7,16488,32.472,High,23.0,Short (<1h),Unknown,Unknown,TV-MA,,,Netflix,kaggle
KGL_tm479734,Table Manners,movie,2018,2010s,2015–2019,1,5.1,43,8.382,Low,105.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_ts52988,Captive,tv_show,2016,2010s,2015–2019,0,6.8,742,19.523,Low,63.0,Standard (1–1.5h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_ts76511,The Big Family Cooking Showdown,tv_show,2017,2010s,2015–2019,0,7.0,682,19.841,Low,59.0,Short (<1h),Unknown,Unknown,TV-PG,,,Netflix,kaggle
KGL_ts225718,La Révolution,tv_show,2020,2020s,2020s,1,6.6,5598,24.738,Medium,46.0,Short (<1h),Unknown,Unknown,TV-MA,,,Netflix,kaggle
KGL_ts287838,Mad for Each Other,tv_show,2021,2020s,2020s,1,7.9,1724,25.571,Medium,35.0,Short (<1h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm1084481,Blood Brothers: Malcolm X & Muhammad Ali,movie,2021,2020s,2020s,1,6.9,946,20.537,Medium,95.0,Long (1.5–2h),Unknown,Unknown,PG-13,,,Netflix,kaggle
KGL_ts86164,Hero Mask,tv_show,2018,2010s,2015–2019,1,6.1,675,17.263,Low,25.0,Short (<1h),Unknown,Unknown,TV-14,,,Netflix,kaggle
KGL_tm213681,Veteran,movie,2015,2010s,2015–2019,0,7.0,6611,26.742,High,119.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm289181,Newness,movie,2017,2010s,2015–2019,0,6.3,16654,26.596,High,112.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm812781,Katherine Ryan: Glitter Room,movie,2019,2010s,2015–2019,1,6.7,1956,22.054,Medium,65.0,Standard (1–1.5h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_ts90869,Love Daily,tv_show,2018,2010s,2015–2019,1,6.1,157,13.412,Low,18.0,Short (<1h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm501222,Twin Murders: The Silence of the White City,movie,2019,2010s,2015–2019,1,5.3,5307,19.742,Medium,110.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm371380,The Package,movie,2018,2010s,2015–2019,1,5.5,17858,23.385,High,94.0,Long (1.5–2h),Unknown,Unknown,R,,,Netflix,kaggle
KGL_ts20960,Power Rangers,tv_show,1993,1990s,1990s,0,6.5,22110,28.24,High,22.0,Short (<1h),Unknown,Unknown,TV-Y7,,,Netflix,kaggle
KGL_tm466544,Sooryavanshi,movie,2021,2020s,2020s,1,6.3,75952,30.747,High,145.0,Epic (2h+),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm174683,Arthur Christmas,movie,2011,2010s,2010–2014,0,7.1,58635,33.854,High,97.0,Long (1.5–2h),Unknown,Unknown,PG,,,Netflix,kaggle
KGL_ts41906,The Disastrous Life of Saiki K.,tv_show,2016,2010s,2015–2019,0,8.4,7086,32.344,High,10.0,Short (<1h),Unknown,Unknown,TV-14,,,Netflix,kaggle
KGL_tm985712,"Strip Down, Rise Up",movie,2021,2020s,2020s,1,5.2,656,14.651,Low,112.0,Long (1.5–2h),Unknown,Unknown,R,,,Netflix,kaggle
KGL_tm140391,Pan,movie,2015,2010s,2015–2019,0,5.7,63788,27.387,High,111.0,Long (1.5–2h),Unknown,Unknown,PG,,,Netflix,kaggle
KGL_tm349803,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",movie,2017,2010s,2015–2019,0,7.6,25948,33.547,High,94.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm245378,Barry,movie,2016,2010s,2015–2019,0,5.9,7212,22.763,High,104.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_ts90511,Crime Diaries: Night Out,tv_show,2019,2010s,2015–2019,1,7.3,865,21.444,Low,44.0,Short (<1h),Unknown,Unknown,TV-MA,,,Netflix,kaggle
KGL_tm1063013,The Father Who Moves Mountains,movie,2021,2020s,2020s,1,5.5,3472,19.474,Medium,108.0,Long (1.5–2h),Unknown,Unknown,PG-13,,,Netflix,kaggle
KGL_tm101609,Raajneeti,movie,2010,2010s,2010–2014,0,7.1,17697,30.16,High,167.0,Epic (2h+),Unknown,Unknown,PG,,,Netflix,kaggle
KGL_tm943808,Guillermo Vilas: Settling the Score,movie,2020,2020s,2020s,1,7.1,655,20.0,Low,94.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm840936,Zoé: Panoramas,movie,2017,2010s,2015–2019,0,6.8,78,12.904,Low,89.0,Standard (1–1.5h),Unknown,Unknown,PG,,,Netflix,kaggle
KGL_tm1073555,Thimmarusu: Assignment Vali,movie,2021,2020s,2020s,1,7.2,1544,22.96,Medium,127.0,Epic (2h+),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_tm29555,Friends with Money,movie,2006,2000s,2000s,0,5.8,30468,26.006,High,88.0,Standard (1–1.5h),Unknown,Unknown,R,,,Netflix,kaggle
KGL_tm467467,Homecoming: A Film by Beyoncé,movie,2019,2010s,2015–2019,1,7.5,7085,28.878,High,137.0,Epic (2h+),Unknown,Unknown,PG-13,,,Netflix,kaggle
KGL_ts255880,Dream Home Makeover,tv_show,2020,2020s,2020s,1,5.6,1101,17.036,Medium,27.0,Short (<1h),Unknown,Unknown,TV-G,,,Netflix,kaggle
KGL_ts237972,Katla,tv_show,2021,2020s,2020s,1,7.0,13472,28.906,High,46.0,Short (<1h),Unknown,Unknown,TV-MA,,,Netflix,kaggle
KGL_tm324806,Counterpunch,movie,2017,2010s,2015–2019,0,6.7,918,19.854,Low,91.0,Long (1.5–2h),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_ts296091,Elite Short Stories: Nadia Guzmán,tv_show,2021,2020s,2020s,1,6.2,1907,20.34,Medium,11.0,Short (<1h),Unknown,Unknown,TV-MA,,,Netflix,kaggle
KGL_tm454824,Silver Skates,movie,2020,2020s,2020s,1,7.1,5946,26.798,Medium,136.0,Epic (2h+),Unknown,Unknown,nan,,,Netflix,kaggle
KGL_ts57120,Good Girls,tv_show,2018,2010s,2015–2019,1,7.7,50919,36.243,High,42.0,Short (<1h),Unknown,Unknown,TV-14,,,Netflix,kaggle
KGL_ts100116,Blown Away,tv_show,2019,2010s,2015–2019,1,7.1,3034,24.723,Medium,26.0,Short (<1h),Unknown,Unknown,TV-PG,,,Netflix,kaggle
